record_id,subject_id,session_id,timestamp_ms,delta_band_power,theta_band_power,alpha_band_power,beta_band_power,gamma_band_power,signal_noise_ratio,eye_blink_artifact,mental_task_type,focus_level_score,cognitive_state
60,14,10,254371,0.583,3.868,0.531,8.451,2.578,26.84,No,Motor Imagery,87.47,Distracted
61,17,3,102166,3.443,4.439,3.072,5.934,0.513,20.64,No,Cognitive Load,30.03,Distracted
62,36,5,14506,3.284,2.792,7.766,8.775,3.592,36.87,No,Visual Stimulus,30.55,Distracted
63,50,5,225413,1.894,4.665,5.712,6.632,3.191,22.21,No,Cognitive Load,38.72,Fatigued
64,40,4,113604,0.886,1.749,3.51,9.489,3.028,22.91,No,Visual Stimulus,96.65,Focused
65,4,1,26026,0.909,1.717,1.944,3.173,0.243,19.59,No,Cognitive Load,8.44,Relaxed
66,2,5,420888,4.655,1.388,3.171,6.156,3.216,32.62,No,Resting,81.88,Relaxed
67,6,10,314557,3.602,2.546,1.774,7.056,0.638,19.87,No,Visual Stimulus,34.16,Focused
68,42,5,255116,1.072,5.159,1.297,4.233,0.967,14.43,No,Motor Imagery,84.95,Focused
69,4,4,327210,2.105,5.054,7.301,8.857,2.351,35.17,No,Visual Stimulus,99.18,Focused
70,29,6,190285,3.166,2.606,7.982,9.808,1.133,25.89,No,Cognitive Load,34.87,Relaxed
71,18,10,50971,4.26,3.74,1.731,5.191,2.679,25.7,No,Cognitive Load,12.94,Distracted
72,26,4,420497,0.696,4.464,0.909,4.211,2.471,26.38,No,Visual Stimulus,14.44,Distracted
73,44,7,113978,1.565,1.827,2.973,4.983,0.522,30.16,No,Motor Imagery,75.87,Distracted
74,34,7,159163,4.504,1.425,3.962,8.601,2.658,15.96,No,Resting,14.49,Fatigued
75,10,2,103864,0.541,5.847,2.036,6.632,3.703,6.18,Yes,Motor Imagery,26.04,Distracted
76,36,3,394295,1.406,3.897,2.761,0.925,0.728,33.37,No,Visual Stimulus,20.44,Fatigued
77,14,1,439967,4.816,5.898,2.007,5.651,2.429,9.51,No,Cognitive Load,35.57,Relaxed
78,31,8,448648,3.26,2.358,6.307,0.664,1.433,30.26,Yes,Motor Imagery,7.44,Fatigued
79,48,9,340435,1.678,4.367,5.844,7.896,1.892,7.88,No,Cognitive Load,85.67,Focused
80,15,4,125659,0.801,1.724,5.262,3.619,1.219,18.14,No,Cognitive Load,86.01,Focused
81,8,6,7235,0.627,1.937,3.404,4.984,1.481,7.21,Yes,Motor Imagery,41.29,Relaxed
82,14,9,344877,1.601,3.315,7.318,8.087,0.213,23.28,No,Visual Stimulus,61.21,Distracted
83,23,6,62712,4.467,2.258,7.771,0.941,3.928,27.86,No,Motor Imagery,64.2,Relaxed
84,40,9,152545,2.372,1.422,1.802,2.006,2.537,11.0,Yes,Resting,74.93,Focused
85,21,4,125849,3.742,1.946,2.173,4.281,2.053,18.01,No,Cognitive Load,52.07,Distracted
86,16,8,255493,4.632,0.697,4.442,2.684,1.596,37.56,No,Cognitive Load,51.03,Focused
87,45,9,104215,2.336,4.374,1.184,3.71,2.204,20.48,No,Visual Stimulus,63.13,Relaxed
88,18,4,32230,1.361,3.207,3.773,9.983,1.582,33.09,No,Cognitive Load,70.3,Distracted
89,47,5,346717,2.827,1.018,4.863,8.341,1.504,37.45,Yes,Cognitive Load,34.67,Relaxed
90,24,8,462092,4.586,1.444,4.416,8.897,1.909,39.1,No,Cognitive Load,33.04,Focused
91,26,10,302788,4.12,1.064,2.982,9.402,1.176,36.44,Yes,Motor Imagery,26.97,Distracted
92,25,6,179736,0.796,3.869,4.568,3.739,0.802,16.11,No,Cognitive Load,54.88,Focused
93,45,7,328821,3.617,1.018,7.691,3.322,2.271,38.69,No,Motor Imagery,36.02,Distracted
94,41,3,418641,3.074,4.649,2.045,2.724,3.387,33.43,No,Visual Stimulus,54.03,Fatigued
95,29,7,84817,4.584,0.613,5.411,8.386,0.696,34.3,No,Resting,40.6,Fatigued
96,15,8,238657,1.051,1.872,0.825,6.956,0.228,5.53,No,Cognitive Load,83.67,Focused
97,45,10,217033,2.903,5.399,0.998,2.744,1.063,38.4,No,Resting,7.31,Relaxed
98,1,6,231414,4.458,4.452,4.639,4.081,3.921,32.23,No,Motor Imagery,57.22,Fatigued
99,25,10,256812,2.345,0.901,1.287,5.314,3.332,31.88,No,Visual Stimulus,57.56,Fatigued
100,7,9,304958,2.669,5.016,0.668,5.517,2.424,7.85,No,Visual Stimulus,38.37,Distracted
101,9,6,594507,0.817,3.212,1.786,8.943,3.724,13.14,No,Motor Imagery,42.1,Distracted
102,24,9,170956,1.752,5.157,4.736,4.115,1.837,38.68,No,Resting,80.01,Distracted
103,1,4,357489,1.96,3.804,5.775,9.131,3.935,22.52,No,Cognitive Load,28.07,Focused
104,44,8,257134,4.753,4.25,2.019,4.693,1.256,18.93,Yes,Motor Imagery,87.14,Relaxed
105,8,4,362232,1.772,5.964,5.512,7.591,1.037,34.4,No,Motor Imagery,89.63,Relaxed
106,24,2,21650,2.574,1.778,1.869,9.337,2.588,8.06,No,Motor Imagery,65.06,Distracted
107,11,10,356386,3.521,3.932,5.101,9.122,1.575,19.59,No,Motor Imagery,77.29,Focused
108,17,9,170521,1.23,3.032,3.59,1.041,2.543,18.15,No,Motor Imagery,61.29,Distracted
109,8,5,170733,2.689,0.717,5.403,2.454,1.289,17.24,Yes,Visual Stimulus,52.53,Relaxed
110,35,4,242037,3.823,0.58,7.963,5.031,2.51,15.77,Yes,Motor Imagery,96.67,Focused
111,35,2,80428,4.401,1.156,7.534,4.6,1.175,12.35,No,Visual Stimulus,28.27,Distracted
112,33,1,206251,3.318,4.07,0.532,6.588,0.299,11.05,No,Resting,15.42,Distracted
113,5,7,534231,3.511,3.619,7.141,9.475,3.657,27.41,No,Cognitive Load,28.75,Relaxed
114,42,6,438976,1.068,3.544,0.999,1.568,3.545,37.18,No,Visual Stimulus,61.46,Focused
115,39,2,21042,4.756,0.675,7.648,4.793,3.886,22.81,Yes,Cognitive Load,18.52,Relaxed
116,41,8,318903,1.097,3.081,2.614,2.328,2.894,15.43,No,Cognitive Load,90.88,Focused
117,28,4,368117,3.986,5.585,3.365,8.994,2.763,10.57,No,Cognitive Load,41.1,Focused
118,7,8,382811,1.692,2.687,1.187,9.664,2.28,34.06,No,Visual Stimulus,85.0,Distracted
119,9,7,501691,4.701,3.937,1.342,5.048,0.591,39.0,Yes,Visual Stimulus,24.92,Relaxed
120,8,5,214304,3.74,4.789,5.951,1.488,0.838,17.22,Yes,Visual Stimulus,31.32,Focused
121,12,10,396178,3.892,4.812,7.582,7.96,1.229,15.18,No,Resting,5.92,Fatigued
122,34,10,438963,1.486,3.356,5.081,7.123,3.572,26.05,No,Visual Stimulus,25.78,Distracted
123,33,8,314493,2.494,5.219,5.869,3.869,0.775,32.14,Yes,Resting,49.03,Relaxed
124,48,9,201904,3.28,2.653,6.215,8.93,3.699,20.94,Yes,Visual Stimulus,94.61,Focused
125,23,5,5730,3.965,5.388,2.471,9.77,2.139,27.05,No,Visual Stimulus,38.89,Distracted
126,24,10,407137,0.968,1.821,0.839,5.8,2.891,30.08,No,Cognitive Load,63.97,Relaxed
127,37,5,202210,4.831,2.041,0.514,5.874,0.53,38.62,No,Motor Imagery,42.77,Relaxed
128,35,2,19023,4.506,0.792,3.13,3.326,1.149,10.78,No,Cognitive Load,4.68,Distracted
129,44,5,345430,1.717,4.876,2.311,6.053,3.838,39.91,No,Visual Stimulus,50.35,Focused
130,40,3,408213,4.202,2.794,0.967,4.677,1.138,18.73,No,Motor Imagery,6.59,Distracted
131,22,7,520610,2.832,1.76,1.846,3.371,1.256,30.31,No,Motor Imagery,88.37,Fatigued
132,27,10,20923,2.578,1.775,1.434,1.138,0.871,25.03,No,Resting,75.3,Distracted
133,35,5,396103,1.915,5.458,7.362,2.901,0.603,22.03,No,Motor Imagery,37.87,Relaxed
134,1,8,194795,3.114,5.087,1.552,2.38,1.01,29.43,No,Resting,64.02,Fatigued
135,35,1,233462,3.785,3.544,4.532,5.649,2.605,18.85,No,Cognitive Load,11.2,Fatigued
136,37,3,51413,2.349,3.889,4.948,6.216,1.876,9.41,No,Resting,70.26,Focused
137,47,3,255719,3.331,3.109,4.576,6.281,2.26,22.11,No,Visual Stimulus,82.27,Distracted
138,14,9,553044,3.647,2.654,1.243,4.188,0.577,23.27,Yes,Motor Imagery,82.17,Focused
139,3,5,333720,3.7,5.535,2.891,4.502,3.228,12.07,No,Visual Stimulus,28.43,Distracted
140,1,9,272448,0.734,1.191,0.885,8.425,3.158,37.75,No,Motor Imagery,26.37,Relaxed
141,5,9,554629,4.369,2.801,3.468,5.024,0.184,12.96,No,Motor Imagery,52.14,Focused
142,26,1,410226,2.562,2.395,1.914,9.884,1.596,19.32,No,Cognitive Load,96.78,Relaxed
143,14,2,127039,1.681,3.24,4.712,4.676,0.368,10.42,No,Resting,92.05,Relaxed
144,39,5,180074,1.588,3.017,5.696,6.671,3.189,23.75,Yes,Cognitive Load,35.96,Fatigued
145,27,4,131562,2.674,3.354,4.491,0.978,2.975,15.77,No,Resting,77.98,Focused
146,9,10,3729,4.491,1.27,3.757,6.707,3.618,22.12,No,Cognitive Load,92.13,Distracted
147,15,9,347360,2.203,3.322,3.405,8.589,1.022,12.86,Yes,Cognitive Load,26.09,Focused
148,15,7,258360,3.874,1.833,6.813,9.453,1.88,6.88,No,Motor Imagery,83.03,Relaxed
149,26,6,359014,0.936,1.514,2.145,9.975,0.82,32.27,No,Cognitive Load,26.79,Fatigued
150,42,7,21398,2.642,0.857,6.007,3.181,1.548,27.44,No,Cognitive Load,34.33,Focused
151,13,1,296794,4.963,4.695,6.181,5.966,2.137,16.93,No,Resting,19.88,Fatigued
152,32,1,265303,3.967,2.851,3.644,4.782,0.308,6.66,No,Cognitive Load,50.71,Fatigued
153,39,8,360306,1.447,3.947,2.73,5.856,2.888,35.3,No,Motor Imagery,84.33,Relaxed
154,49,2,455982,2.756,4.502,4.029,1.996,2.219,10.94,No,Cognitive Load,52.81,Focused
155,32,10,225959,1.551,4.236,1.199,8.633,3.333,37.58,No,Visual Stimulus,12.34,Focused
156,4,9,410281,2.343,3.088,0.844,9.141,1.16,21.75,No,Visual Stimulus,25.18,Focused
157,30,7,545926,4.01,2.633,1.337,4.772,3.623,16.91,No,Resting,56.29,Fatigued
158,37,6,439727,3.971,2.568,1.904,3.164,3.995,30.96,No,Resting,58.32,Distracted
159,23,1,518490,1.526,4.02,4.281,1.838,3.685,35.69,No,Visual Stimulus,57.69,Focused
160,39,1,553608,4.65,3.221,6.869,6.996,3.134,17.97,No,Cognitive Load,7.7,Relaxed
161,45,2,463092,3.167,5.17,2.267,3.466,3.268,19.26,No,Cognitive Load,75.37,Fatigued
162,15,6,34924,2.21,5.311,7.514,9.141,2.338,20.16,No,Resting,90.94,Distracted
163,43,6,212792,2.759,1.438,7.662,6.875,0.842,37.28,No,Motor Imagery,51.05,Focused
164,29,2,433950,3.223,1.249,7.692,6.634,2.74,29.24,No,Cognitive Load,71.88,Distracted
165,36,1,2159,3.02,3.967,6.782,5.814,2.88,13.67,No,Visual Stimulus,91.4,Fatigued
166,13,10,573228,2.689,2.157,3.229,0.935,3.943,11.47,No,Motor Imagery,64.26,Distracted
167,32,5,470192,2.772,0.602,1.045,9.353,2.211,13.06,No,Motor Imagery,67.43,Fatigued
168,7,5,538966,1.294,5.388,4.766,6.465,1.158,14.22,Yes,Cognitive Load,72.14,Distracted
169,22,2,440420,4.157,1.748,4.69,9.944,2.766,13.06,No,Motor Imagery,26.05,Distracted
170,28,6,405237,2.938,5.611,6.875,5.605,3.92,28.05,No,Resting,58.27,Fatigued
171,2,9,591451,1.09,4.446,7.97,7.246,0.791,9.06,Yes,Motor Imagery,84.22,Distracted
172,42,2,154536,3.948,4.695,4.311,1.034,1.371,18.56,No,Resting,29.62,Relaxed
173,45,10,575425,4.696,1.608,3.089,6.501,2.213,26.88,No,Cognitive Load,89.72,Focused
174,6,2,423448,4.763,1.788,1.894,7.764,0.764,15.18,No,Motor Imagery,62.04,Distracted
175,28,3,501233,2.161,3.367,0.536,7.896,0.187,7.28,No,Visual Stimulus,42.32,Distracted
176,28,7,240970,1.11,1.447,4.318,7.816,1.414,7.86,No,Visual Stimulus,62.32,Distracted
177,44,6,901,2.833,2.18,4.666,2.65,3.475,9.41,No,Resting,40.19,Focused
178,44,8,87980,1.007,2.268,6.687,9.766,0.27,34.25,No,Resting,83.8,Fatigued
179,20,8,369738,4.703,1.378,4.284,9.954,1.773,28.03,No,Cognitive Load,48.23,Focused
180,30,6,476813,1.326,1.629,7.374,1.218,3.073,7.26,Yes,Motor Imagery,90.12,Distracted
181,11,10,292007,1.637,4.837,5.211,9.396,3.817,18.69,No,Resting,50.98,Fatigued
182,28,3,398838,2.33,1.42,6.803,3.25,3.943,14.75,No,Resting,66.04,Distracted
183,25,3,515956,2.224,0.657,1.612,7.048,1.746,25.23,No,Cognitive Load,99.77,Fatigued
184,39,1,476384,4.076,3.961,6.915,3.712,3.806,23.3,No,Motor Imagery,14.7,Distracted
185,33,7,487063,2.553,5.868,5.564,9.694,0.238,21.84,No,Motor Imagery,73.67,Distracted
186,1,5,251839,1.268,2.322,1.777,1.464,3.009,16.01,Yes,Resting,13.89,Fatigued
187,27,4,321395,1.702,1.153,1.923,5.229,2.607,9.82,No,Motor Imagery,83.89,Relaxed
188,13,10,596860,2.791,3.637,7.449,4.566,1.073,30.98,No,Motor Imagery,59.65,Focused
189,41,4,563543,1.164,5.485,0.742,3.597,2.079,35.79,Yes,Motor Imagery,93.82,Fatigued
190,3,4,587500,3.252,4.812,3.969,6.633,0.605,38.05,Yes,Visual Stimulus,86.6,Focused
191,39,6,387773,3.046,3.924,2.851,1.745,3.499,7.05,No,Motor Imagery,7.49,Relaxed
192,6,8,22499,3.716,2.233,5.488,7.308,1.496,30.9,No,Visual Stimulus,13.73,Relaxed
193,8,8,444844,4.72,3.48,6.797,9.816,2.542,30.43,No,Motor Imagery,60.12,Fatigued
194,27,5,585648,4.605,1.002,3.203,8.143,0.719,38.15,No,Motor Imagery,51.83,Relaxed
195,9,6,397819,4.757,4.234,3.702,8.67,0.904,13.85,No,Motor Imagery,16.86,Relaxed
196,37,4,486525,1.601,4.488,7.864,3.917,3.969,30.98,No,Resting,12.94,Distracted
197,33,9,143704,1.092,5.808,6.379,3.586,3.037,6.91,No,Resting,56.4,Distracted
198,42,8,91873,1.86,1.932,7.229,5.412,3.852,27.09,No,Visual Stimulus,4.89,Relaxed
199,44,10,65756,4.528,0.602,3.791,0.934,1.254,17.28,No,Motor Imagery,87.37,Distracted
200,24,10,440210,4.874,3.501,2.256,9.481,0.742,31.91,No,Visual Stimulus,80.71,Relaxed
201,15,1,194454,4.367,4.387,3.589,1.866,2.062,35.22,No,Motor Imagery,78.54,Distracted
202,32,2,318488,0.995,4.847,5.871,9.079,2.029,17.77,No,Cognitive Load,1.6,Relaxed
203,32,9,446991,4.763,1.566,1.321,1.294,0.782,23.4,No,Visual Stimulus,4.76,Relaxed
204,24,8,400565,2.405,1.94,2.529,8.315,2.96,9.11,No,Resting,54.98,Focused
205,41,3,551752,0.542,3.319,0.85,1.944,1.511,19.59,No,Cognitive Load,99.44,Relaxed
206,49,8,435840,2.491,2.318,3.743,0.862,0.827,17.63,No,Resting,34.23,Focused
207,49,1,121897,0.707,5.233,6.706,7.335,1.395,11.41,Yes,Cognitive Load,34.44,Fatigued
208,12,10,520082,2.947,3.106,0.685,3.163,2.298,36.31,No,Cognitive Load,13.43,Relaxed
209,39,4,299488,2.023,4.898,5.565,7.288,2.933,10.18,No,Cognitive Load,67.43,Relaxed
210,2,3,83791,2.63,3.693,7.494,5.773,1.979,27.25,No,Visual Stimulus,64.67,Focused
211,3,6,132534,3.259,4.752,2.277,1.534,2.15,36.15,No,Visual Stimulus,10.13,Relaxed
212,49,7,81441,4.41,2.33,5.702,9.355,0.642,36.92,No,Resting,46.74,Distracted
213,37,4,237612,3.479,5.073,7.813,4.797,3.667,32.76,Yes,Visual Stimulus,66.71,Focused
214,49,7,433797,2.453,2.01,7.717,7.477,3.722,11.16,No,Resting,49.35,Focused
215,17,9,231444,4.187,3.504,2.262,5.26,2.765,33.61,No,Motor Imagery,67.44,Distracted
216,49,2,137263,4.575,1.677,1.252,6.241,0.169,14.68,No,Resting,81.63,Relaxed
217,2,3,345578,1.039,3.115,1.612,3.376,2.195,37.28,Yes,Resting,68.58,Fatigued
218,2,5,47645,2.894,2.25,5.765,2.403,2.554,29.82,No,Visual Stimulus,61.61,Fatigued
219,28,3,239608,1.78,1.967,5.943,5.654,3.979,32.48,Yes,Resting,85.36,Fatigued
220,23,8,547571,0.712,5.818,5.557,4.682,3.985,7.98,No,Visual Stimulus,90.06,Focused
221,37,10,516369,3.508,1.38,3.021,4.206,3.445,25.4,No,Resting,38.89,Focused
222,32,8,349115,4.382,4.83,1.773,6.889,0.349,33.74,No,Motor Imagery,17.32,Distracted
223,33,8,102780,1.233,5.913,4.856,7.06,3.818,35.16,No,Visual Stimulus,81.79,Relaxed
224,1,9,423240,4.156,0.609,4.128,0.936,2.489,6.0,No,Visual Stimulus,21.38,Distracted
225,19,4,442846,4.34,4.345,5.966,3.718,3.223,37.87,No,Motor Imagery,92.9,Focused
226,2,5,515,4.615,1.891,3.81,4.412,1.688,6.52,No,Visual Stimulus,2.29,Fatigued
227,44,5,308360,1.694,0.723,3.04,1.42,1.347,26.51,No,Resting,92.13,Relaxed
228,26,8,333977,4.568,2.716,2.701,2.741,1.907,29.27,No,Cognitive Load,58.92,Fatigued
229,32,7,583043,1.943,5.644,2.086,0.991,0.673,8.76,No,Visual Stimulus,77.47,Relaxed
230,6,9,552144,2.986,0.565,2.493,9.964,1.493,6.68,No,Cognitive Load,39.85,Fatigued
231,32,8,508175,0.727,3.733,1.211,7.497,3.445,32.47,No,Resting,99.17,Relaxed
232,4,2,73870,0.697,3.258,3.101,1.331,0.248,18.46,No,Motor Imagery,22.76,Fatigued
233,11,10,137080,3.742,5.304,0.774,0.692,0.688,8.75,Yes,Visual Stimulus,26.43,Distracted
234,17,4,96502,2.5,0.962,1.898,7.333,0.588,31.69,No,Cognitive Load,5.14,Focused
235,38,6,590611,1.653,4.248,6.101,4.672,1.672,34.72,No,Motor Imagery,94.05,Distracted
236,24,2,432206,1.357,4.241,2.941,7.975,3.988,25.56,No,Motor Imagery,45.6,Fatigued
237,5,7,478977,3.515,4.18,5.512,9.273,0.776,10.64,No,Visual Stimulus,67.49,Relaxed
238,34,3,428556,0.502,5.683,5.877,6.193,0.667,5.53,No,Cognitive Load,68.74,Distracted
239,6,3,529321,4.127,5.027,4.859,2.278,3.669,29.53,No,Visual Stimulus,87.45,Fatigued
240,22,2,335468,0.857,0.731,7.69,7.931,3.54,24.25,Yes,Resting,66.49,Focused
241,11,8,480350,1.362,3.091,0.661,9.58,0.226,27.78,No,Motor Imagery,56.2,Relaxed
242,48,6,496232,2.238,2.689,6.04,6.012,3.032,33.46,Yes,Cognitive Load,71.03,Distracted
243,16,1,488455,2.682,2.206,7.691,6.979,2.656,20.2,Yes,Visual Stimulus,75.1,Focused
244,33,1,262210,2.097,2.982,6.967,3.706,3.094,9.36,No,Motor Imagery,18.59,Fatigued
245,9,7,531821,1.943,2.613,1.759,4.125,2.029,37.9,No,Visual Stimulus,10.97,Relaxed
246,6,8,377972,4.838,2.878,2.951,7.479,3.966,24.08,No,Cognitive Load,7.48,Fatigued
247,16,5,250231,3.387,5.886,1.793,9.314,0.271,26.54,No,Resting,37.41,Relaxed
248,29,5,12940,0.605,0.987,5.01,6.475,1.014,37.67,No,Resting,49.8,Focused
249,3,4,380171,2.436,5.572,5.841,8.004,1.647,37.61,No,Resting,61.56,Focused
250,20,6,541220,4.438,3.141,2.878,2.131,1.854,25.02,No,Visual Stimulus,95.8,Focused
251,36,6,226377,1.857,3.931,4.546,2.514,3.693,15.42,No,Motor Imagery,33.08,Distracted
252,19,3,450043,0.926,5.066,5.682,5.554,2.284,39.9,No,Resting,76.09,Distracted
253,26,9,24648,3.913,2.483,3.66,2.177,0.276,28.83,No,Resting,53.14,Distracted
254,3,7,32966,3.227,2.867,6.905,6.532,1.691,19.3,No,Resting,22.01,Fatigued
255,19,1,420993,3.066,2.752,6.287,3.271,1.724,24.59,No,Resting,61.53,Distracted
256,20,7,255733,0.741,2.561,0.985,8.02,3.865,19.55,No,Cognitive Load,96.72,Relaxed
257,32,5,163639,1.132,5.59,5.158,8.177,2.437,36.09,No,Cognitive Load,12.43,Focused
258,7,5,246331,3.301,5.059,2.265,4.906,2.579,21.89,No,Motor Imagery,50.73,Fatigued
259,41,2,42598,1.435,1.099,4.681,2.218,2.882,33.82,Yes,Cognitive Load,5.16,Fatigued
260,33,4,190271,2.768,1.095,7.677,6.644,3.103,34.41,No,Cognitive Load,32.12,Distracted
261,40,6,407014,2.952,2.853,7.093,9.931,2.577,33.85,No,Cognitive Load,62.06,Relaxed
262,39,10,248004,1.776,1.043,3.534,6.415,1.025,30.28,No,Visual Stimulus,84.11,Focused
263,18,7,17118,4.768,3.905,2.686,0.84,3.509,34.92,No,Cognitive Load,73.03,Fatigued
264,40,5,22616,4.291,1.29,2.258,0.664,2.955,18.55,No,Visual Stimulus,46.29,Focused
265,1,9,131870,3.751,3.373,4.494,3.543,2.993,9.01,Yes,Visual Stimulus,90.92,Relaxed
